class,n_per_class,class_shock,student,student_shock,Y_Z_0,Y_Z_1,Z,Z_cond_prob,Y,condition
01,12,1044.9483893104152,001,-85.27913057389156,959.6692587365237,1059.6692587365237,1,0.5,1059.6692587365237,Treatment
01,12,1044.9483893104152,002,-28.705484255069475,1016.2429050553458,1116.2429050553458,1,0.5,1116.2429050553458,Treatment
01,12,1044.9483893104152,003,-85.92340446404617,959.0249848463691,1059.024984846369,1,0.5,1059.024984846369,Treatment
01,12,1044.9483893104152,004,110.36080230251653,1155.3091916129317,1255.3091916129317,1,0.5,1255.3091916129317,Treatment
01,12,1044.9483893104152,005,-114.25148687247615,930.6969024379391,1030.6969024379391,1,0.5,1030.6969024379391,Treatment
01,12,1044.9483893104152,006,94.09612549722398,1139.0445148076392,1239.0445148076392,1,0.5,1239.0445148076392,Treatment
01,12,1044.9483893104152,007,48.07230584439507,1093.0206951548103,1193.0206951548103,1,0.5,1193.0206951548103,Treatment
01,12,1044.9483893104152,008,-203.13609545590924,841.8122938545059,941.8122938545059,1,0.5,941.8122938545059,Treatment
01,12,1044.9483893104152,009,262.0053588417372,1306.9537481521525,1406.9537481521525,1,0.5,1406.9537481521525,Treatment
01,12,1044.9483893104152,010,104.6374330262426,1149.5858223366579,1249.5858223366579,1,0.5,1249.5858223366579,Treatment
01,12,1044.9483893104152,011,-198.4717614203818,846.4766278900335,946.4766278900335,1,0.5,946.4766278900335,Treatment
01,12,1044.9483893104152,012,-154.73356649259478,890.2148228178205,990.2148228178205,1,0.5,990.2148228178205,Treatment
02,19,892.5719813235933,013,-238.94738989754856,653.6245914260447,753.6245914260447,1,0.5,753.6245914260447,Treatment
02,19,892.5719813235933,014,-87.05964265053184,805.5123386730614,905.5123386730614,1,0.5,905.5123386730614,Treatment
02,19,892.5719813235933,015,468.05132245959936,1360.6233037831926,1460.6233037831926,1,0.5,1460.6233037831926,Treatment
02,19,892.5719813235933,016,233.7415971329518,1126.313578456545,1226.313578456545,1,0.5,1226.313578456545,Treatment
02,19,892.5719813235933,017,151.753066263677,1044.3250475872703,1144.3250475872703,1,0.5,1144.3250475872703,Treatment
02,19,892.5719813235933,018,-57.891762290314986,834.6802190332783,934.6802190332783,1,0.5,934.6802190332783,Treatment
02,19,892.5719813235933,019,-143.16639656372757,749.4055847598656,849.4055847598656,1,0.5,849.4055847598656,Treatment
02,19,892.5719813235933,020,277.22408781334724,1169.7960691369406,1269.7960691369406,1,0.5,1269.7960691369406,Treatment
02,19,892.5719813235933,021,11.048927137740385,903.6209084613337,1003.6209084613337,1,0.5,1003.6209084613337,Treatment
02,19,892.5719813235933,022,212.92125921808903,1105.4932405416823,1205.4932405416823,1,0.5,1205.4932405416823,Treatment
02,19,892.5719813235933,023,81.73675114315643,974.3087324667497,1074.3087324667497,1,0.5,1074.3087324667497,Treatment
02,19,892.5719813235933,024,-73.15787544479815,819.4141058787951,919.4141058787951,1,0.5,919.4141058787951,Treatment
02,19,892.5719813235933,025,-50.976289988497854,841.5956913350954,941.5956913350954,1,0.5,941.5956913350954,Treatment
02,19,892.5719813235933,026,-176.98054322657117,715.5914380970221,815.5914380970221,1,0.5,815.5914380970221,Treatment
02,19,892.5719813235933,027,-183.09966461084153,709.4723167127518,809.4723167127518,1,0.5,809.4723167127518,Treatment
02,19,892.5719813235933,028,41.11089031301375,933.682871636607,1033.682871636607,1,0.5,1033.682871636607,Treatment
02,19,892.5719813235933,029,-77.17075937506272,815.4012219485305,915.4012219485305,1,0.5,915.4012219485305,Treatment
02,19,892.5719813235933,030,-146.31827498570215,746.2537063378911,846.2537063378911,1,0.5,846.2537063378911,Treatment
02,19,892.5719813235933,031,-20.37711424836364,872.1948670752296,972.1948670752296,1,0.5,972.1948670752296,Treatment
03,14,1016.1253383154715,032,-10.184128975274264,1005.9412093401972,1105.9412093401972,0,0.5,1005.9412093401972,Control
03,14,1016.1253383154715,033,149.15944243211115,1165.2847807475825,1265.2847807475825,0,0.5,1165.2847807475825,Control
03,14,1016.1253383154715,034,-61.21821283636834,954.9071254791031,1054.9071254791031,0,0.5,954.9071254791031,Control
03,14,1016.1253383154715,035,-313.6043020872394,702.5210362282321,802.5210362282321,0,0.5,702.5210362282321,Control
03,14,1016.1253383154715,036,100.98575760705901,1117.1110959225305,1217.1110959225305,0,0.5,1117.1110959225305,Control
03,14,1016.1253383154715,037,147.52877956793088,1163.6541178834023,1263.6541178834023,0,0.5,1163.6541178834023,Control
03,14,1016.1253383154715,038,26.261839489929105,1042.3871778054006,1142.3871778054006,0,0.5,1042.3871778054006,Control
03,14,1016.1253383154715,039,-136.66703092350497,879.4583073919665,979.4583073919665,0,0.5,879.4583073919665,Control
03,14,1016.1253383154715,040,134.4862907611761,1150.6116290766477,1250.6116290766477,0,0.5,1150.6116290766477,Control
03,14,1016.1253383154715,041,558.3699264816181,1574.4952647970895,1674.4952647970895,0,0.5,1574.4952647970895,Control
03,14,1016.1253383154715,042,4.724694731064746,1020.8500330465363,1120.8500330465363,0,0.5,1020.8500330465363,Control
03,14,1016.1253383154715,043,137.5997232399346,1153.725061555406,1253.725061555406,0,0.5,1153.725061555406,Control
03,14,1016.1253383154715,044,-200.92575181835375,815.1995864971177,915.1995864971177,0,0.5,815.1995864971177,Control
03,14,1016.1253383154715,045,34.08802386245985,1050.2133621779312,1150.2133621779312,0,0.5,1050.2133621779312,Control
04,10,1088.2106958337852,046,-252.22637741262176,835.9843184211634,935.9843184211634,0,0.5,835.9843184211634,Control
04,10,1088.2106958337852,047,60.182635848683,1148.3933316824682,1248.3933316824682,0,0.5,1148.3933316824682,Control
04,10,1088.2106958337852,048,-22.62085736450919,1065.589838469276,1165.589838469276,0,0.5,1065.589838469276,Control
04,10,1088.2106958337852,049,43.300333357522206,1131.5110291913074,1231.5110291913074,0,0.5,1131.5110291913074,Control
04,10,1088.2106958337852,050,177.30385159777862,1265.5145474315639,1365.5145474315639,0,0.5,1265.5145474315639,Control
04,10,1088.2106958337852,051,-250.85948831932018,837.3512075144649,937.3512075144649,0,0.5,837.3512075144649,Control
04,10,1088.2106958337852,052,-116.09559826936513,972.11509756442,1072.11509756442,0,0.5,972.11509756442,Control
04,10,1088.2106958337852,053,-194.04731089980172,894.1633849339835,994.1633849339835,0,0.5,894.1633849339835,Control
04,10,1088.2106958337852,054,-384.28058783978304,703.9301079940021,803.9301079940021,0,0.5,703.9301079940021,Control
04,10,1088.2106958337852,055,-6.4290063259847505,1081.7816895078004,1181.7816895078004,0,0.5,1081.7816895078004,Control
05,20,701.0395091035757,056,-185.8604332995884,515.1790758039873,615.1790758039873,1,0.5,615.1790758039873,Treatment
05,20,701.0395091035757,057,-13.692516917414595,687.3469921861611,787.3469921861611,1,0.5,787.3469921861611,Treatment
05,20,701.0395091035757,058,-221.64452090358265,479.39498819999307,579.3949881999931,1,0.5,579.3949881999931,Treatment
05,20,701.0395091035757,059,368.1347616778426,1069.1742707814183,1169.1742707814183,1,0.5,1169.1742707814183,Treatment
05,20,701.0395091035757,060,-176.36839400291913,524.6711151006566,624.6711151006566,1,0.5,624.6711151006566,Treatment
05,20,701.0395091035757,061,156.78283534247856,857.8223444460543,957.8223444460543,1,0.5,957.8223444460543,Treatment
05,20,701.0395091035757,062,-155.08691672432028,545.9525923792554,645.9525923792554,1,0.5,645.9525923792554,Treatment
05,20,701.0395091035757,063,-98.85925484475304,602.1802542588226,702.1802542588226,1,0.5,702.1802542588226,Treatment
05,20,701.0395091035757,064,-228.49979528844767,472.53971381512804,572.539713815128,1,0.5,572.539713815128,Treatment
05,20,701.0395091035757,065,97.00587839958885,798.0453875031645,898.0453875031645,1,0.5,898.0453875031645,Treatment
05,20,701.0395091035757,066,152.37887192426462,853.4183810278403,953.4183810278403,1,0.5,953.4183810278403,Treatment
05,20,701.0395091035757,067,-116.18160947284736,584.8578996307283,684.8578996307283,1,0.5,684.8578996307283,Treatment
05,20,701.0395091035757,068,83.5640804762011,784.6035895797768,884.6035895797768,1,0.5,884.6035895797768,Treatment
05,20,701.0395091035757,069,-483.7585198837283,217.2809892198474,317.2809892198474,1,0.5,317.2809892198474,Treatment
05,20,701.0395091035757,070,-80.29827961111079,620.741229492465,720.741229492465,1,0.5,720.741229492465,Treatment
05,20,701.0395091035757,071,-127.26564823783406,573.7738608657417,673.7738608657417,1,0.5,673.7738608657417,Treatment
05,20,701.0395091035757,072,149.43916043206028,850.478669535636,950.478669535636,1,0.5,950.478669535636,Treatment
05,20,701.0395091035757,073,489.9117060477161,1190.9512151512918,1290.9512151512918,1,0.5,1290.9512151512918,Treatment
05,20,701.0395091035757,074,-208.5284867508953,492.5110223526804,592.5110223526804,1,0.5,592.5110223526804,Treatment
05,20,701.0395091035757,075,-120.47462848615802,580.5648806174177,680.5648806174177,1,0.5,680.5648806174177,Treatment
06,12,1031.5258433126526,076,-110.66738563777032,920.8584576748823,1020.8584576748823,1,0.5,1020.8584576748823,Treatment
06,12,1031.5258433126526,077,30.590696307703297,1062.116539620356,1162.116539620356,1,0.5,1162.116539620356,Treatment
06,12,1031.5258433126526,078,-128.92495146163523,902.6008918510173,1002.6008918510173,1,0.5,1002.6008918510173,Treatment
06,12,1031.5258433126526,079,242.09819734890812,1273.6240406615607,1373.6240406615607,1,0.5,1373.6240406615607,Treatment
06,12,1031.5258433126526,080,-56.98095564560392,974.5448876670487,1074.5448876670487,1,0.5,1074.5448876670487,Treatment
06,12,1031.5258433126526,081,51.20626871396102,1082.7321120266135,1182.7321120266135,1,0.5,1182.7321120266135,Treatment
06,12,1031.5258433126526,082,-48.52189181395288,983.0039514986997,1083.0039514986997,1,0.5,1083.0039514986997,Treatment
06,12,1031.5258433126526,083,-47.579155638544975,983.9466876741076,1083.9466876741076,1,0.5,1083.9466876741076,Treatment
06,12,1031.5258433126526,084,-123.52466944314806,908.0011738695046,1008.0011738695046,1,0.5,1008.0011738695046,Treatment
06,12,1031.5258433126526,085,-36.73949505801212,994.7863482546404,1094.7863482546404,1,0.5,1094.7863482546404,Treatment
06,12,1031.5258433126526,086,-66.11015679087907,965.4156865217735,1065.4156865217735,1,0.5,1065.4156865217735,Treatment
06,12,1031.5258433126526,087,106.966428064865,1138.4922713775177,1238.4922713775177,1,0.5,1238.4922713775177,Treatment
07,11,1202.7161412251896,088,-59.6270688784274,1143.0890723467621,1243.0890723467621,1,0.5,1243.0890723467621,Treatment
07,11,1202.7161412251896,089,-223.3647478012539,979.3513934239357,1079.3513934239356,1,0.5,1079.3513934239356,Treatment
07,11,1202.7161412251896,090,-12.726302090002529,1189.9898391351871,1289.9898391351871,1,0.5,1289.9898391351871,Treatment
07,11,1202.7161412251896,091,317.40201007797367,1520.1181513031634,1620.1181513031634,1,0.5,1620.1181513031634,Treatment
07,11,1202.7161412251896,092,-205.57105637088108,997.1450848543086,1097.1450848543086,1,0.5,1097.1450848543086,Treatment
07,11,1202.7161412251896,093,-90.02636150675046,1112.6897797184392,1212.6897797184392,1,0.5,1212.6897797184392,Treatment
07,11,1202.7161412251896,094,-376.8903660064817,825.8257752187079,925.8257752187079,1,0.5,925.8257752187079,Treatment
07,11,1202.7161412251896,095,416.9273862450723,1619.643527470262,1719.643527470262,1,0.5,1719.643527470262,Treatment
07,11,1202.7161412251896,096,61.63442310575749,1264.3505643309472,1364.3505643309472,1,0.5,1364.3505643309472,Treatment
07,11,1202.7161412251896,097,-24.271181589938212,1178.4449596352515,1278.4449596352515,1,0.5,1278.4449596352515,Treatment
07,11,1202.7161412251896,098,-563.3393681052496,639.37677311994,739.37677311994,1,0.5,739.37677311994,Treatment
08,16,891.003233942503,099,-52.227859872049194,838.7753740704538,938.7753740704538,1,0.5,938.7753740704538,Treatment
08,16,891.003233942503,100,74.23283442556438,965.2360683680674,1065.2360683680674,1,0.5,1065.2360683680674,Treatment
08,16,891.003233942503,101,-91.40285928657788,799.6003746559252,899.6003746559252,1,0.5,899.6003746559252,Treatment
08,16,891.003233942503,102,0.8460595036944161,891.8492934461974,991.8492934461974,1,0.5,991.8492934461974,Treatment
08,16,891.003233942503,103,20.070240180746335,911.0734741232493,1011.0734741232493,1,0.5,1011.0734741232493,Treatment
08,16,891.003233942503,104,184.8010165017195,1075.8042504442226,1175.8042504442226,1,0.5,1175.8042504442226,Treatment
08,16,891.003233942503,105,-61.95763566750564,829.0455982749974,929.0455982749974,1,0.5,929.0455982749974,Treatment
08,16,891.003233942503,106,-299.64753434474784,591.3556995977551,691.3556995977551,1,0.5,691.3556995977551,Treatment
08,16,891.003233942503,107,22.712558475565434,913.7157924180684,1013.7157924180684,1,0.5,1013.7157924180684,Treatment
